"11/29/2019, 10:26:58"
Center frequency,20.0971
""
freq,cplx data,fft centered
-117248.44968993799,(20.532608-17.814636j),0.802463
-117198.43968793759,(19.235611-14.133453j),0.70553374
-117148.42968593718,(19.721985-15.678406j),1.1150976
-117098.4196839368,(19.378662-17.881393j),0.48274234
-117048.40968193639,(21.20018-14.724731j),1.3837143
-116998.39967993599,(20.608902-16.174316j),0.564659
-116948.38967793559,(23.727417-12.617111j),0.8718032
-116898.37967593518,(23.832321-12.359619j),0.50668734
-116848.3696739348,(20.580292-13.599396j),0.4596359
-116798.35967193439,(20.933151-13.284683j),0.5409494
-116748.34966993399,(21.591187-15.7547j),0.8484467
-116698.33966793359,(19.91272-13.828278j),0.62853736
-116648.32966593318,(20.76149-13.551712j),0.78817147
-116598.31966393278,(22.268295-13.76152j),0.5640659
-116548.30966193239,(21.390915-13.9808655j),0.5693895
-116498.29965993199,(20.40863-16.012192j),0.83289707
-116448.28965793159,(20.570755-16.241074j),1.3209
-116398.27965593118,(21.677017-14.209747j),1.0389947
-116348.2696539308,(18.825531-14.076233j),0.21894264
-116298.25965193039,(20.971298-14.677048j),0.47100788
-116248.24964992999,(20.446777-13.465881j),0.13520722
-116198.23964792959,(19.702911-13.647079j),0.5233843
-116148.22964592918,(20.017624-15.058517j),0.48170528
-116098.21964392878,(17.709732-16.813278j),0.60706425
-116048.20964192839,(19.683838-15.277863j),0.57207555
-115998.19963992799,(18.825531-14.476776j),1.085671
-115948.18963792759,(21.371841-14.095306j),0.148684
-115898.17963592718,(20.008087-11.968613j),0.9547427
-115848.16963392678,(18.224716-13.246536j),1.3295094
-115798.15963192639,(21.686554-14.93454j),0.89587283
-115748.14962992599,(20.399094-12.025833j),1.0535791
-115698.13962792559,(20.67566-13.065338j),1.3021888
-115648.12962592518,(19.655228-13.637543j),0.21580881
-115598.11962392478,(18.587112-12.121201j),0.6970947
-115548.10962192438,(18.76831-14.2765045j),0.72777176
-115498.09961992399,(19.674301-15.6879425j),1.3367723
-115448.08961792359,(19.130707-14.486313j),1.2736752
-115398.07961592318,(18.453598-13.484955j),0.7016324
-115348.06961392278,(19.292831-15.239716j),1.0544703
-115298.05961192239,(19.712448-15.001297j),0.75355995
-115248.04960992199,(20.914078-13.999939j),0.6114205
-115198.03960792159,(20.112991-13.208389j),0.68487597
-115148.02960592118,(20.942688-14.781952j),0.16434412
-115098.01960392078,(21.9059-14.371872j),0.5987948
-115048.00960192038,(18.787384-14.724731j),1.5262944
-114997.99959991999,(19.569397-14.820099j),1.9092091
-114947.98959791959,(19.61708-14.038086j),1.1191815
-114897.97959591918,(16.565323-14.457703j),0.540934
-114847.96959391878,(18.730164-12.817383j),0.87818694
-114797.95959191839,(18.692017-13.818741j),0.84709054
-114747.94958991799,(20.7901-13.475418j),1.0355507
-114697.93958791759,(19.12117-13.380051j),0.76158625
-114647.92958591718,(19.00673-15.029907j),1.3115587
-114597.91958391678,(19.464493-14.162064j),0.8347587
-114547.90958191638,(18.501282-12.311935j),0.015648453
-114497.89957991599,(21.247864-13.341904j),0.7986336
-114447.88957791559,(19.09256-12.636185j),0.38747242
-114397.87957591518,(19.607544-14.08577j),1.616194
-114347.86957391478,(18.959045-12.693405j),0.93552196
-114297.85957191438,(20.008087-12.779236j),1.1039687
-114247.84956991399,(20.360947-14.228821j),1.9289348
